Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Prefix/Suffix,TinyURL,DNS_Record,iFrame,Mouse_Over,Right_Click,Web_Forwards
imsva91-ctp.trendmicro.com,0,0,1,4,0,0,1,0,0,1,1,1,1
deregisternewdevice-online.com,0,0,0,0,0,0,1,0,0,1,1,1,1
aenth.com,0,1,1,1,0,0,0,0,0,1,1,1,1
gold-mail.ru:443,0,0,0,0,0,0,1,0,0,1,1,1,1
kisa.link,0,0,0,1,0,0,0,0,0,1,1,1,1
0i.is,0,0,0,1,0,0,0,0,0,1,1,1,1
studio-jrg.com,0,0,0,2,0,0,1,0,0,1,1,1,1
sites.google.com,0,0,0,2,0,0,0,0,0,1,1,1,1
whatsapp18girl.4pu.com,0,0,0,0,0,0,0,0,0,1,1,1,1
lloydsbank.user-online-device-personal.com,0,0,0,0,0,0,1,0,0,1,1,1,1
deregister-device-pairing-secured.com,0,0,1,1,0,0,1,0,0,1,1,1,1
account.paxful.com.wallet-account-upgrade.com,0,0,0,0,0,0,1,0,0,1,1,1,1
millenniaco-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,1
rb.gy,0,0,0,1,0,0,0,0,0,1,1,1,1
jurnal.stai-aljawami.ac.id,0,0,1,7,0,0,1,0,0,1,1,1,1
termerosapepe.it,0,0,0,1,0,0,0,0,0,1,1,1,1
vtennis.vn,0,0,0,7,0,0,0,0,0,1,1,1,1
lonestarsanitation.com,0,0,1,7,0,0,0,0,0,1,1,1,1
halifax.logon-login-personal-authenticate.com,0,0,0,0,0,0,1,0,0,1,1,1,1
grubwhatsapp18.mrslove.com,0,0,0,0,0,0,0,0,0,1,1,1,1
greatmusica.com,0,0,0,2,0,0,0,0,0,1,1,1,1
trven.com,0,0,0,1,0,0,0,0,0,1,1,1,1
oceetee-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,1
modularmovements-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,1
onlinehalifax-secureaccount.com,0,0,0,0,0,0,1,1,0,1,1,1,1
medexsc-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,1
onedrive.live.com,0,0,1,1,0,0,0,0,0,1,1,1,1
ocbec.net,0,1,0,2,0,0,0,0,0,1,1,1,1
lemnexotic.ro,0,0,1,5,0,0,0,0,0,1,1,1,1
firebasestorage.googleapis.com,0,1,1,5,0,0,0,1,0,1,1,1,1
email.veromailer.com,0,0,1,2,0,0,0,0,0,1,1,1,1
tusuplemento.cl,0,0,0,3,0,0,0,0,0,1,1,1,1
uzbekart.com,0,0,0,3,0,0,0,1,0,1,1,1,1
betasus312.blogspot.com,0,0,0,0,0,0,0,1,0,1,1,1,1
linktr.ee,0,0,0,1,0,0,0,0,0,1,1,1,1
nrc.codeweaver.ca,0,0,0,4,0,0,0,0,0,1,1,1,1
bienvenue-authentification.webador.de,0,0,0,0,0,0,1,0,0,1,1,1,1
db.clickexperts.net,0,0,1,3,0,0,0,0,0,1,1,1,1
bingobongogroup.com,0,0,1,2,0,0,0,0,0,1,1,1,1
vfgt2.likesyou.org,0,0,0,1,0,0,0,0,0,1,1,1,1
clouddoc-authorize.firebaseapp.com,0,0,1,2,0,0,1,0,0,1,1,1,1
zonaseguraweb1activaciones-bn1z.com,0,0,0,0,0,0,1,0,0,1,1,1,1
ebay.con-itm.27429348.xyz,0,0,1,3,0,0,1,0,0,1,1,1,1
benhtri.tamduocglophar.vn,0,0,0,3,0,0,0,0,0,1,1,1,1
travelpura.com,0,0,1,4,0,0,0,0,0,1,1,1,1
artfullyrestless.com,0,0,1,4,0,0,0,0,0,1,1,1,1
payee-reviewuk.com,0,0,0,0,0,0,1,0,0,1,1,1,1
arslanlogistics.com,0,0,0,3,0,0,0,0,0,1,1,1,1
device-cancellation-issue.com,0,0,0,0,0,0,1,0,0,1,1,1,1
netflix.pl.soincoips.com,0,0,0,1,0,0,0,0,0,1,1,1,1
deregister-unknown-onlineaccount.com,0,0,0,0,0,0,1,1,0,1,1,1,1
zonasegurainisiasesionenlinea.com,0,0,0,0,0,0,0,0,0,1,1,1,1
placejadelle.net,0,0,1,5,0,0,0,0,0,1,1,1,1
hmp.me,0,0,0,1,0,0,0,0,0,1,1,1,1
xn--gmal-sya.com,0,0,0,0,0,0,1,0,0,1,1,1,1
bakemarketing.com,0,0,0,2,0,0,0,0,0,1,1,1,1
secure-llo-alert.live,0,0,0,0,0,0,1,0,0,1,1,1,1
runescape.com-de.ru,0,0,0,0,0,0,1,0,0,1,1,1,1
destructoring.com,0,1,1,3,0,0,0,0,0,1,1,1,1
mediolanumecobonus110.it,0,0,0,0,0,0,0,0,0,1,1,1,1
te.bathandbodyworks.com,0,0,1,8,0,0,0,0,0,1,1,1,1
ctr.saatrva.com,0,0,1,3,0,0,0,0,0,1,1,1,1
bodegalatinacorp-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,1
profinishmi.com,0,1,1,4,0,0,0,0,0,1,1,1,1
calzadosiris.com,0,0,1,1,0,0,0,0,0,1,1,1,1
mail.dhlesgmarketing.com,0,0,0,1,0,0,0,0,0,1,1,1,1
fn-international.com,0,0,0,2,0,0,1,0,0,1,1,1,1
phogovip.vn,0,1,1,3,0,0,0,0,0,1,1,1,1
est1933-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,1
selectit.biz,0,0,1,3,0,0,0,0,0,1,1,1,1
dhlesgmarketing.com,0,0,1,3,0,0,0,0,0,1,1,1,1
thedarelite.com,0,0,1,6,0,0,0,0,0,1,1,1,1
managedevshalifax.com,0,0,0,0,0,0,0,1,0,1,1,1,1
moi.gov.ly,0,0,0,1,0,0,0,0,0,1,1,1,1
neltfxix.blogspot.com,0,0,0,0,0,0,0,1,0,1,1,1,1
tecnologiasintegralesmedioambientales.com,0,0,1,3,0,0,0,0,0,1,1,1,1
novinroyapolymer.com,0,0,0,0,0,0,0,0,0,1,1,1,1
cupomparaviagem.com.br,0,0,0,0,0,0,0,0,0,1,1,1,1
harrisonk12msus-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,1
onlinebanking-accounts-signin.com,0,0,0,1,0,0,1,0,0,1,1,1,1
o2-billingsupport-update.com,0,0,0,0,0,0,1,0,0,1,1,1,1
acostamueble.com,0,0,0,1,0,0,0,0,0,1,1,1,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,1
iglesiapentecostescentralpandevida.com,0,0,1,4,0,0,0,0,0,1,1,1,1
pubgrew.com,0,0,0,0,0,0,0,0,0,1,1,1,1
simpletouchpos.com,0,0,0,3,0,0,0,0,0,1,1,1,1
bodegalatinacorp-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,1
infommssms.webador.com,0,0,0,0,0,0,0,0,0,1,1,1,1
adventurediscoverytravel.com,0,0,0,0,0,0,0,0,0,1,1,1,1
drive.google.com,0,0,1,3,0,0,0,0,0,1,1,1,1
lenziefilhos.com.br,0,0,0,2,0,0,0,0,0,1,1,1,1
lloyds-bank-de-register.com,0,0,0,1,0,0,1,0,0,1,1,1,1
u.to,0,0,0,1,0,0,0,1,0,1,1,1,1
digitalflashbacks.ca,0,0,1,5,0,0,0,0,0,1,1,1,1
guillermo.co.uk,0,0,0,2,0,0,0,0,0,1,1,1,1
surabhidental.com,0,0,0,1,0,0,0,0,0,1,1,1,1
ce-ceva.fr,0,0,1,1,0,0,1,0,0,1,1,1,1
londonchinesebaptistchurch.org.uk,0,0,0,1,0,0,0,0,0,1,1,1,1
aruba-iv.blogspot.com,0,0,0,0,0,0,1,1,0,1,1,1,1
viana.imoveis.expert,0,0,0,0,0,0,0,0,0,1,1,1,1
lecerveauattentif.fr,0,0,0,1,0,0,0,0,0,1,1,1,1
share.hsforms.com,0,0,1,1,0,0,0,0,0,1,1,1,1
doapositioning.com,0,0,1,4,0,0,0,0,0,1,1,1,1
dunia-kepo.000webhostapp.com,0,0,0,0,0,0,1,0,0,1,1,1,1
locked.appleid.apple.com.services-and-support.com,0,0,1,0,0,0,1,1,0,1,1,1,1
s.id,0,0,0,1,0,0,0,0,0,1,1,1,1
fcom.malkasameera.com,0,0,0,2,0,0,0,0,0,1,1,1,1
opretretopoptk.000webhostapp.com,0,0,1,2,0,0,0,0,0,1,1,1,1
worldofplushtoys.com,0,0,1,0,0,0,0,0,0,1,1,1,1
apple-verivication.cheapelectricnow.net,0,0,0,0,0,0,1,0,0,1,1,1,1
smbc-card.jycyjx.com,0,0,0,0,0,0,1,1,0,1,1,1,1
bankofamerica-logins.dns05.com,0,0,1,2,0,0,1,0,0,1,1,1,1
host4014.itelit.pro,0,0,0,1,0,0,0,0,0,1,1,1,1
printerstudent.com,0,0,1,2,0,0,0,1,0,1,1,1,1
digitalflashbacks.ca,0,0,1,5,0,0,0,0,0,1,1,1,1
betpergir4.blogspot.com,0,0,0,0,0,0,0,1,0,1,1,1,1
cassa7c.com,0,0,0,3,0,0,0,0,0,1,1,1,1
stolizaparketa.ru,0,1,1,7,0,0,0,0,0,1,1,1,1
mugabet.com,0,0,0,1,0,0,0,1,0,1,1,1,1
betasus223.blogspot.com,0,0,0,0,0,0,0,1,0,1,1,1,1
pubgmexovip.com,0,0,0,0,0,0,0,0,0,1,1,1,1
0ffice3655.cabanova.com,0,0,0,0,0,0,0,0,0,1,1,1,1
professionalindemnityinsurance.com.mt,0,1,1,4,0,0,0,0,0,1,1,1,1
cancel-onlinepayee.com,0,0,0,0,0,0,1,0,0,1,1,1,1
vogotelecom.com.br,0,0,1,1,0,0,0,0,0,1,1,1,1
tamericans-melhorando.com,0,0,1,3,0,0,1,0,0,1,1,1,1
ee-billingsecure-update.com,0,0,1,2,0,0,1,0,0,1,1,1,1
xn----dtbqhcb0ae2ahi6h.xn--p1ai,0,1,1,1,0,0,1,0,0,1,1,1,1
item-number-697784372223.epizy.com,0,0,0,0,0,0,1,0,0,1,1,1,1
linktr.ee,0,0,0,1,0,0,0,0,0,1,1,1,1
claimnowsta.com,0,0,0,2,0,0,0,0,0,1,1,1,1
careplayit.vip,0,0,0,0,0,0,0,0,0,1,1,1,1
agrimetiersmartinique.fr,0,0,1,3,0,0,0,0,0,1,1,1,1
digitalflashbacks.ca,0,0,1,5,0,0,0,0,0,1,1,1,1
ee-paymentupdates-secured.com,0,0,1,2,0,0,1,0,0,1,1,1,1
imcreator.com,0,0,1,2,0,0,0,0,0,1,1,1,1
lloyds-device.com,0,0,0,0,0,0,1,0,0,1,1,1,1
perilibayresort.com,0,0,1,6,0,0,0,1,0,1,1,1,1
rondelbarrilito.com,0,0,0,2,0,0,0,0,0,1,1,1,1
web-app.at.ua,0,0,0,1,0,0,1,0,0,1,1,1,1
148.204.63.249,0,0,0,2,0,0,0,0,0,1,1,1,1
creativecombat.com,0,0,1,4,0,0,0,1,0,1,1,1,1
bomqueagoraesoaproveita.com,0,0,1,2,0,0,0,0,0,1,1,1,1
jiremenad.blogspot.com,0,0,0,0,0,0,0,1,0,1,1,1,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,1
techbells.in,0,0,1,4,0,0,0,0,0,1,1,1,1
lloyd-securedservice.com,0,0,0,0,0,0,1,0,0,1,1,1,1
globalworks.main.jp,0,0,0,0,0,0,0,0,0,1,1,1,1
lloydsbank.new-review-auth-device.com,0,0,0,0,0,0,1,0,0,1,1,1,1
confirm-mytransfers.com,0,0,0,1,0,0,1,0,0,1,1,1,1
grupbokep2020.itsaol.com,0,0,0,0,0,0,0,0,0,1,1,1,1
bitly.com,0,0,0,1,0,0,0,1,0,1,1,1,1
newdevice-icancel-register.com,0,0,0,0,0,0,1,0,0,1,1,1,1
southcountyclassified.com,0,0,1,5,0,0,0,0,0,1,1,1,1
bereanindy.org,0,0,1,6,0,0,0,0,0,1,1,1,1
hosting2070987.online.pro,0,0,0,0,0,0,0,0,0,1,1,1,1
cancellationrequest-hfx.com,0,0,0,1,0,0,1,1,0,1,1,1,1
namoridoss2entrega.com,0,0,0,0,0,0,0,0,0,1,1,1,1
acupuncture-easily.com,0,0,0,0,0,0,1,0,0,1,1,1,1
content-fbook-91089427.roggiehouse.it,0,0,1,1,0,0,1,0,0,1,1,1,1
apple.com-devicealert.com,0,0,0,1,0,0,1,1,0,1,1,1,1
leboncoin.fr-demande-9126412.starfm.co.ke,0,0,0,0,0,0,1,0,0,1,1,1,1
bnngp.xmdzt.cn,0,0,0,0,0,0,0,0,0,1,1,1,1
bestchenge.life,0,0,0,0,0,0,0,0,0,1,1,1,1
7ku50.csb.app,0,0,0,0,0,0,0,0,0,1,1,1,1
dhlesgmarketing.com,0,0,0,2,0,0,0,0,0,1,1,1,1
linktr.ee,0,0,0,1,0,0,0,0,0,1,1,1,1
urlz.fr,0,0,0,1,0,0,0,0,0,1,1,1,1
paypal.co.uk.userk5hjhbm77rr.settingsppup.com,0,0,0,0,0,0,0,0,0,1,1,1,1
theumashow.com,0,0,0,3,0,0,0,0,0,1,1,1,1
hendrixaibukioroshi.com,0,0,1,5,0,0,0,0,0,1,1,1,1
corinnakegel.com,0,0,0,1,0,0,0,0,0,1,1,1,1
netflix.one-year-unlimited-movies.com,0,0,0,0,0,0,1,0,0,1,1,1,1
i-m.mx,0,0,0,2,0,0,1,0,0,1,1,1,1
db.clickexperts.net,0,0,1,3,0,0,0,0,0,1,1,1,1
mls.ad.jp,0,0,1,5,0,0,0,0,0,1,1,1,1
receptfritt-cialis.com,0,0,1,5,0,0,1,0,0,1,1,1,1
ww17.casas-cb-compras.com,0,0,0,1,0,0,1,0,0,1,1,1,1
osmaslo.ru,0,0,1,4,1,0,0,0,0,1,1,1,1
sicherheitscenter-ama-banking-69.kundenver.co.uk,0,0,1,6,0,0,1,0,0,1,1,1,1
firmadigital-cr.com,0,0,0,1,0,0,1,0,0,1,1,1,1
adobe-maxhealth-auths.ga,0,0,0,0,0,0,1,0,0,1,1,1,1
paypalvsgooglecheckout.com,0,0,0,1,0,0,0,1,0,1,1,1,1
ebuddynews.com,0,0,0,3,0,0,0,0,0,1,1,1,1
essentialdesignday.blogspot.com,0,0,0,0,0,0,0,1,0,1,1,1,1
stateagencybe.tumblr.com,0,0,0,0,0,0,0,0,0,1,1,1,1
raketenm-o7q4t.cc,0,0,0,0,0,0,1,0,0,1,1,1,1
umnnp-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,1
spaceandform.com,0,0,0,2,0,0,0,0,0,1,1,1,1
jurlebedev.ru,0,0,1,5,0,0,0,0,0,1,1,1,1
lsrc.org.ls,0,0,0,3,0,0,0,0,0,1,1,1,1
accountspotwdfweefopuriuityur.firebaseapp.com,0,0,0,0,0,0,0,0,0,1,1,1,1
zonasegura-dnsweboperacion.com,0,0,0,0,0,0,1,0,0,1,1,1,1
pmco2020-official.jkub.com,0,0,0,2,0,0,1,0,0,1,1,1,1
suits4u.ie,0,0,1,1,0,0,0,0,0,1,1,1,1
roltulurdi.wixsite.com,0,0,0,1,0,0,0,0,0,1,1,1,1
c5lws.app.link,0,0,0,1,0,0,0,0,0,1,1,1,1
autodiscover.ryder-dutton.co.uk,0,0,0,0,0,0,1,0,0,1,1,1,1
convocatoriasactualizadas.com,0,0,1,1,0,0,0,0,0,1,1,1,1
getactive365.com,0,0,1,4,0,0,0,0,0,1,1,1,1
gkjx168.com,0,0,1,1,0,0,0,1,0,1,1,1,1
hypo-tan.com,0,0,0,3,0,0,1,0,0,1,1,1,1
dhlesgmarketing.com,0,0,1,3,0,0,0,0,0,1,1,1,1
justlookapp.com,0,0,1,7,0,0,0,0,0,1,1,1,1
app-netfliix.u1239489.cp.regruhosting.ru,0,0,1,4,0,0,1,0,0,1,1,1,1
iaak12.org,0,0,0,1,0,0,0,0,0,1,1,1,1
tpgcp3qpmpvuphqqjcfxrg-on.drv.tw,0,0,1,1,0,0,1,0,0,1,1,1,1
elpla.pl,0,0,0,3,0,0,0,0,0,1,1,1,1
boraprafrentebra18k.com,0,0,1,2,0,0,0,0,0,1,1,1,1
darlingmike.com,0,0,0,1,0,0,0,0,0,1,1,1,1
appointment.beyondthebox.ph,0,0,0,3,0,0,0,0,0,1,1,1,1
rekvtem-4jrr3a.net,0,0,0,0,0,0,1,0,0,1,1,1,1
goodasnewshop.org,0,0,0,2,0,0,0,0,0,1,1,1,1
onlinenatw.com,0,0,1,3,0,0,0,0,0,1,1,1,1
shootatsight.com,0,0,1,3,0,0,0,1,0,1,1,1,1
tokokainbandung.com,0,0,1,10,0,0,0,0,0,1,1,1,1
kisa.link,0,0,0,1,0,0,0,0,0,1,1,1,1
623112j4j3.codesandbox.io,0,0,0,1,0,0,0,0,0,1,1,1,1
nationwide-com.com,0,0,1,2,0,0,1,0,0,1,1,1,1
confirm-fbi-523168711.tk,0,0,1,1,0,0,1,0,0,1,1,1,1
infinitemarketingdev.com,0,0,1,5,0,0,0,0,0,1,1,1,1
digitalbanking-signin-auth.com,0,0,0,1,0,0,1,0,0,1,1,1,1
accounts.google.com,0,0,1,1,1,0,0,1,0,1,1,1,1
roomandrevenue.com,0,0,1,1,0,0,0,0,0,1,1,1,1
vinceduchene.cnbcreative.co.uk,0,0,1,4,0,0,0,0,0,1,1,1,1
formbuddy.com,0,0,1,2,0,0,0,0,0,1,1,1,1
vcs-gratis-bareng-tante-dan-video-viral.000webhostapp.com,0,0,1,1,0,0,1,0,0,1,1,1,1
mail.o2-change-billing.com,0,0,0,0,0,0,1,0,0,1,1,1,1
cancelpayee.device-ath.com,0,0,1,1,0,0,1,0,0,1,1,1,1
deregister-info.com,0,0,0,1,0,0,1,0,0,1,1,1,1
dhlvideo.id,0,0,0,1,0,0,0,0,0,1,1,1,1
raketenm-ri243.cc,0,0,0,0,0,0,1,0,0,1,1,1,1
manuscript.ge,0,0,1,5,0,0,0,0,0,1,1,1,1
n4r7u.app.link,0,0,0,1,0,0,0,0,0,1,1,1,1
nwest-authme.com,0,0,0,0,0,0,1,0,0,1,1,1,1
datelsolutions.co.uk,0,0,0,2,0,0,0,0,0,1,1,1,1
betasus312.blogspot.com,0,0,0,0,0,0,0,1,0,1,1,1,1
gov.hmrc-returncalculate.com,0,0,0,0,0,0,1,0,0,1,1,1,1
peyper24.net,0,0,0,2,0,0,0,0,0,1,1,1,1
starmak.com.tr,0,0,1,1,0,0,0,0,0,1,1,1,1
cuentaddominiodelsistemarpido.moonfruit.com,0,0,0,0,0,0,0,1,0,1,1,1,1
verify-securepayee.com,0,0,0,1,0,0,1,0,0,1,1,1,1
xju3s.mjt.lu,0,0,1,5,0,0,0,0,0,1,1,1,1
dhlesgmarketing.com,0,0,0,2,0,0,0,0,0,1,1,1,1
estetika2z.com,0,0,0,2,0,0,0,0,0,1,1,1,1
eesecureservice.com,0,0,0,0,0,0,0,0,0,1,1,1,1
newworldexport.designexpert.website,0,0,1,1,0,0,0,0,0,1,1,1,1
oneday.bg,0,0,0,0,0,0,0,0,0,1,1,1,1
giveawayroyale16.com,0,0,0,0,0,0,0,0,0,1,1,1,1
bestfanyi.com.au,0,0,1,1,0,0,0,0,0,1,1,1,1
doc.microsofttoolkit.org,0,0,0,0,0,0,0,0,0,1,1,1,1
animatics.co.uk,0,0,0,2,0,0,0,0,0,1,1,1,1
destructoring.com,0,0,0,3,0,0,0,0,0,1,1,1,1
5b0f6cb9-0485-4fc7-9775-eb74bb45bbf6.htmlcomponentservice.com,0,0,1,1,0,0,1,0,0,1,1,1,1
avanta-furniture.ro,0,0,1,5,0,0,1,0,0,1,1,1,1
res.ms-cable.club,0,0,0,2,0,0,1,0,0,1,1,1,1
couponfinderpro.com,0,0,0,3,0,0,0,0,0,1,1,1,1
ppuk-support-auth.com,0,0,0,1,0,0,1,0,0,1,1,1,1
joeypmemorialfoundation.com,0,0,1,5,0,0,0,0,0,1,1,1,1
nartsokb.com,0,0,0,1,0,0,0,0,0,1,1,1,1
reactivalbcponlineperu.cub-fals.com,0,0,1,1,0,0,1,0,0,1,1,1,1
ptiqxjmtypy8ic2.runescape.com-ub.ru,0,0,0,0,0,0,1,0,0,1,1,1,1
gas9623wgb.fastpluscheap.com,0,0,0,0,0,0,0,0,0,1,1,1,1
billing.secure-verify-account.cc,0,0,0,0,0,0,1,0,0,1,1,1,1
vrpayment.live.itonicsit.de,0,0,0,0,0,0,0,0,0,1,1,1,1
1drv.ms,0,0,0,2,0,0,0,0,0,1,1,1,1
elmerfloyd.com,0,0,0,2,0,0,0,0,0,1,1,1,1
tinyurl.com,0,0,0,1,0,0,0,1,0,1,1,1,1
una.saatrva.com,0,0,1,3,0,0,0,0,0,1,1,1,1
forgesmithvr.com,0,0,0,1,0,0,0,0,0,1,1,1,1
mail.igvc.link,0,0,0,0,0,0,0,0,0,1,1,1,1
lansparpofa1987.blogspot.be,0,0,0,0,0,0,0,0,0,1,1,1,1
bitferronort.blogspot.com,0,0,0,0,0,0,0,1,0,1,1,1,1
espace1630585.weebly.com,0,0,0,0,0,0,0,0,0,1,1,1,1
elexbetgirisadresi.blogspot.com,0,0,0,0,0,0,0,1,0,1,1,1,1
secure.runascape.com-vc.ru,0,0,1,2,0,0,1,0,0,1,1,1,1
bdsfa.sharepoint.com,0,0,1,3,0,0,0,1,0,1,1,1,1
onedrive.live.com,0,0,1,1,0,0,0,0,0,1,1,1,1
hostiotics.com,0,0,0,3,0,0,0,0,0,1,1,1,1
online-secure-login-account.com,0,0,0,0,0,0,1,1,0,1,1,1,1
stopdevicerequest.com,0,0,0,1,0,0,0,1,0,1,1,1,1
kalea-poke.de,0,0,0,3,0,0,1,0,0,1,1,1,1
energygain.co.uk,0,0,0,1,0,0,0,0,0,1,1,1,1
webmailsfrr.moonfruit.com,0,0,0,0,0,0,0,1,0,1,1,1,1
homs.com.br,0,0,0,1,0,0,0,0,0,1,1,1,1
christinacreates.com,0,0,1,8,0,0,0,0,0,1,1,1,1
xh1u4.mjt.lu,0,0,1,5,0,0,0,0,0,1,1,1,1
meditecwarehouse.com,0,0,0,1,0,0,0,0,0,1,1,1,1
hphotel-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,1
tracin.weebly.com,0,0,0,0,0,0,0,0,0,1,1,1,1
authorise-newtransaction.com,0,0,0,0,0,0,1,0,0,1,1,1,1
bzrider.com,0,0,0,4,0,0,0,0,0,1,1,1,1
jcspender.com,0,0,1,3,0,0,0,0,0,1,1,1,1
claimskinm4now.com,0,0,0,0,0,0,0,0,0,1,1,1,1
